[190.  682.5],[3.1920000e+03 9.8245614e-01]
[434.14302429 704.0801353 ],[6.58528776e+03 1.02420232e+00]
[434.50605356 704.51460243],[6.57324069e+03 1.00763644e+00]
[434.62786314 704.66190921],[6.56802695e+03 1.00151621e+00]
[434.99105257 704.70019659],[6.72716868e+03 9.91390000e-01]
[435.11514476 705.35638103],[6.78716974e+03 9.87757652e-01]
[435.14881387 705.26404563],[6.86296600e+03 9.78790426e-01]
[435.14933043 705.54228921],[6.83703070e+03 9.83236434e-01]
[435.13862377 706.29266641],[6.82574849e+03 9.85127854e-01]
[435.12491254 706.56322061],[6.82049367e+03 9.85974781e-01]
[435.11118313 706.65086923],[6.92580935e+03 9.71002422e-01]
[435.09844421 707.3273545 ],[6.85727275e+03 9.80704040e-01]
[435.08696523 707.57143432],[6.82969713e+03 9.84652447e-01]
[435.40710541 708.30991479],[6.87358509e+03 9.94181130e-01]
[435.52261598 708.2438345 ],[6.94429801e+03 9.89964980e-01]
[435.56033424 708.20499805],[6.9703996e+03 9.8841954e-01]
[435.56878418 708.83573297],[6.97942272e+03 9.87870136e-01]
[435.56668044 709.39223822],[7.03671773e+03 9.80013162e-01]
[435.89114784 709.58996728],[7.00144490e+03 9.69346954e-01]
[435.67808687 709.65095905],[7.04341740e+03 9.73170998e-01]
[435.59383859 709.99026375],[7.11309744e+03 9.67203758e-01]
[435.88832073 710.10721434],[7.19544596e+03 9.72714188e-01]
[435.99651906 710.13942052],[7.22560516e+03 9.74861902e-01]
[435.70433558 710.79895826],[7.17907256e+03 9.68081136e-01]
[435.58936715 711.36782778],[7.10535357e+03 9.72990975e-01]
[435.54400093 711.57068782],[7.07662132e+03 9.74950091e-01]
[435.85594894 711.63434486],[7.12159145e+03 9.83492767e-01]
[435.64260469 711.64621072],[7.08207724e+03 9.78986637e-01]
[435.88977642 711.30910723],[7.17819453e+03 9.77437582e-01]
[435.98136246 711.83212928],[7.21419034e+03 9.76863889e-01]
[436.34366251 712.02266763],[7.17045761e+03 9.68992912e-01]
[436.47842623 712.08585558],[7.15312542e+03 9.66027536e-01]
[436.19474362 712.43107129],[7.03486659e+03 9.64667579e-01]
[435.75226849 712.55308796],[7.04665078e+03 9.72010797e-01]
[435.25502549 712.5905303 ],[7.10731021e+03 9.82583528e-01]
[435.39731077 712.59663724],[7.18619259e+03 9.94328195e-01]
[435.1245488  712.92232091],[7.21573559e+03 9.83361938e-01]
[435.68208931 713.36814767],[7.28150716e+03 9.71730827e-01]
[435.89439381 713.5298113 ],[7.30577525e+03 9.67379216e-01]
[435.97410669 713.58285105],[7.31424076e+03 9.65765743e-01]
[436.0030503  713.92438842],[7.37205148e+03 9.57949012e-01]
[436.01265644 714.04646808],[7.28270393e+03 9.69557697e-01]
[436.01499819 714.41488368],[7.30327512e+03 9.66728287e-01]
[436.01470282 714.54582744],[7.31056901e+03 9.65687796e-01]
[436.34384546 714.58704939],[7.25536408e+03 9.57731889e-01]
[436.13571683 714.5947293 ],[7.29175551e+03 9.62369835e-01]
[436.05597921 714.59045688],[7.30517852e+03 9.64157780e-01]
[436.02478946 714.58243639],[7.30994763e+03 9.64864438e-01]
[436.01238475 714.57372401],[7.31142613e+03 9.65151911e-01]
[436.00727148 714.56540759],[7.31167883e+03 9.65276039e-01]
[436.3353103  714.55782837],[7.25400508e+03 9.57745056e-01]
[436.45886625 714.55104933],[7.23197840e+03 9.54911255e-01]
[436.17240745 714.54503422],[7.28138170e+03 9.61501058e-01]
[436.06342212 714.53971554],[7.29995760e+03 9.64013074e-01]
